age,treatment,event,event_type
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1246.2202777777777,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1293.4675,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1340.1783333333333,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1414.7419444444445,Male/20x,1,1
1461.355,Male/20x,1,1
1461.355,Male/20x,1,1
1461.355,Male/20x,1,1
1461.355,Male/20x,1,1
1461.355,Male/20x,1,1
1511.2244444444443,Male/20x,1,1
1511.2244444444443,Male/20x,1,1
1585.1091666666666,Male/20x,1,1
1585.1091666666666,Male/20x,1,1
1585.1091666666666,Male/20x,1,1
1585.1091666666666,Male/20x,1,1
1628.9775,Male/20x,1,1
1628.9775,Male/20x,1,1
1628.9775,Male/20x,1,1
1628.9775,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1676.2088888888889,Male/20x,1,1
1752.3697222222222,Male/20x,1,1
1752.3697222222222,Male/20x,1,1
1752.3697222222222,Male/20x,1,1
1752.3697222222222,Male/20x,1,1
1752.3697222222222,Male/20x,1,1
1849.4305555555554,Male/20x,1,1
1849.4305555555554,Male/20x,1,1
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
2136.1377777777775,Male/20x,1,0
332.1836111111111,Male/40x,1,1
406.5283333333333,Male/40x,1,1
573.3805555555556,Male/40x,1,1
621.3266666666666,Male/40x,1,1
670.5905555555555,Male/40x,1,1
909.6838888888889,Male/40x,1,1
909.6838888888889,Male/40x,1,1
1002.1880555555555,Male/40x,1,1
1002.1880555555555,Male/40x,1,1
1002.1880555555555,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1077.7172222222223,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1125.473611111111,Male/40x,1,1
1172.7363888888888,Male/40x,1,1
1172.7363888888888,Male/40x,1,1
1172.7363888888888,Male/40x,1,1
1172.7363888888888,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1246.2202777777777,Male/40x,1,1
1293.4675,Male/40x,1,1
1293.4675,Male/40x,1,1
1293.4675,Male/40x,1,1
1340.1783333333333,Male/40x,1,1
1340.1783333333333,Male/40x,1,1
1340.1783333333333,Male/40x,1,1
1340.1783333333333,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1414.7419444444445,Male/40x,1,1
1461.355,Male/40x,1,1
1461.355,Male/40x,1,1
1461.355,Male/40x,1,1
1461.355,Male/40x,1,1
1461.355,Male/40x,1,1
1461.355,Male/40x,1,1
1511.2244444444443,Male/40x,1,1
1511.2244444444443,Male/40x,1,1
1511.2244444444443,Male/40x,1,1
1585.1091666666666,Male/40x,1,1
1628.9775,Male/40x,1,1
1628.9775,Male/40x,1,1
1628.9775,Male/40x,1,1
1628.9775,Male/40x,1,1
1676.2088888888889,Male/40x,1,1
1752.3697222222222,Male/40x,1,1
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
2136.1377777777775,Male/40x,1,0
