treatment,time,n_at_risk,n_deaths,n_censored,qx,px,lx,hx,km_lx,se_km,km_ci_lo,km_ci_hi,na_H,na_se,na_ci_lo,na_ci_hi
Female/20x,1965.7316666666666,369,107,0,0.2899728997289973,0.7100271002710027,0.29176275101318677,0.0071972881694407605,0.29176275101318677,0.015169370729314,0.26203078438373134,0.3214947176426422,1.1103379261140138,0.04600537719169462,1.0201673868182923,1.2005084654097353
Female/20x,2012.8527777777776,262,77,0,0.29389312977099236,0.7061068702290076,0.20601568296732653,0.004518858347606567,0.20601568296732653,0.01349645590322444,0.17956262939700662,0.23246873653764644,1.4042310558850062,0.0569053972263863,1.292696477321289,1.5157656344487234
Female/20x,2089.0930555555556,185,92,0,0.4972972972972973,0.5027027027027027,0.1035646406268182,0.014068964005583664,0.1035646406268182,0.010167852383564139,0.08363564995503248,0.12349363129860391,1.9015283531823035,0.07698258070756737,1.7506424949954715,2.0524142113691357
Female/20x,2136.1377777777775,93,54,39,0.5806451612903226,0.4193548387096774,0.04343033316608504,0.017391575070143443,0.04343033316608504,0.0068017246706315,0.030098952811647303,0.05676171352052278,2.4821735144726262,0.11031688035091267,2.2659524289848374,2.698394599960415
Female/40x,119.625,1900,0,5,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Female/40x,164.13055555555556,1895,1,0,0.0005277044854881266,0.9994722955145119,0.9994722955145119,7.186436463547431e-06,0.9994722955145119,0.0005275652311024091,0.9984382676615512,1.0,0.0005277044854881266,0.0005277044854881266,0.0,0.0015620052770448547
Female/40x,237.58055555555555,1894,2,0,0.0010559662090813093,0.9989440337909187,0.9984168865435357,2.2197048918994006e-05,0.9984168865435357,0.0009132872021371564,0.9966268436273469,1.0,0.001583670694569436,0.0009143327301180158,0.0,0.0033757628456007466
Female/40x,285.17805555555555,1892,1,0,0.0005285412262156448,0.9994714587737844,0.9978891820580476,1.1247201204275328e-05,0.9978891820580476,0.0010542944944552986,0.9958227648489152,0.9999555992671799,0.0021122119207850807,0.001056106135373998,4.224389545204451e-05,0.004182179946118117
Female/40x,332.1836111111111,1891,1,0,0.0005288207297726071,0.9994711792702274,0.9973614775725594,4.322839004631232e-06,0.9973614775725594,0.0011784253674364327,0.995051763852384,0.9996711912927349,0.0026410326505576878,0.001181106063574239,0.00032606476595217933,0.004956000535163196
Female/40x,454.54777777777775,1890,2,0,0.0010582010582010583,0.9989417989417989,0.9963060686015831,2.310500647174439e-05,0.9963060686015831,0.0013935937615240205,0.9935746248289961,0.9990375123741702,0.003699233708758746,0.0013981796283742494,0.0009588016371452172,0.006439665780372274
Female/40x,500.37166666666667,1888,2,0,0.001059322033898305,0.9989406779661016,0.9952506596306068,1.4517183167074481e-05,0.9952506596306068,0.0015793496098744078,0.9921551343952529,0.9983461848659606,0.004758555742657051,0.0015861865775979745,0.0016496300505650205,0.007867481434749081
Female/40x,573.3805555555556,1886,2,0,0.0010604453870625664,0.9989395546129375,0.9941952506596305,2.2129176547830684e-05,0.9941952506596305,0.001745110655738776,0.9907748337743826,0.9976156675448785,0.005819001129719617,0.0017544970984367894,0.0023801868167835096,0.009257815442655724
Female/40x,621.3266666666666,1884,2,0,0.0010615711252653928,0.9989384288747346,0.9931398416886543,2.156011056144473e-05,0.9931398416886543,0.0018961280557616344,0.9894234306993616,0.9968562526779471,0.006880572254985009,0.0019083308663388875,0.00314024375696079,0.010620900753009229
Female/40x,670.5905555555555,1882,2,0,0.0010626992561105207,0.9989373007438895,0.9920844327176781,1.4993091277246268e-05,0.9920844327176781,0.0020356857319907148,0.9880944886829763,0.9960743767523799,0.00794327151109553,0.0020509489388794294,0.003923411590891849,0.011963131431299212
Female/40x,741.5074999999999,1880,6,0,0.0031914893617021275,0.9968085106382979,0.9889182058047493,6.595100604183566e-05,0.9889182058047493,0.002404809169403655,0.9842047798327181,0.9936316317767805,0.011134760872797658,0.0024298132179655907,0.0063723269655851,0.015897194780010216
Female/40x,789.9766666666667,1874,2,0,0.0010672358591248667,0.9989327641408752,0.9878627968337731,2.2350590285142717e-05,0.9878627968337731,0.00251537661332757,0.982932658671651,0.9927929349958952,0.012201996731922524,0.0025443051042870813,0.007215158727519845,0.017188834736325202
Female/40x,837.7519444444445,1872,2,0,0.0010683760683760685,0.9989316239316239,0.9868073878627969,1.4860533736089581e-05,0.9868073878627969,0.0026210601414338912,0.9816701099855865,0.9919446657400073,0.013270372800298592,0.0026540915913812486,0.008068353281191345,0.01847239231940584
Female/40x,909.6838888888889,1870,1,0,0.0005347593582887701,0.9994652406417113,0.9862796833773088,1.1317292106047777e-05,0.9862796833773088,0.0026722525687655515,0.9810420683425283,0.9915172984120892,0.013805132158587361,0.0027074286226451225,0.008498572058202921,0.019111692258971802
Female/40x,956.9480555555555,1869,7,0,0.003745318352059925,0.9962546816479401,0.9825857519788919,8.294308611317086e-05,0.9825857519788919,0.0030049205018892176,0.976696107795189,0.9884753961625947,0.017550450510647287,0.00305517354628186,0.011562310359934842,0.023538590661359732
Female/40x,1002.1880555555555,1862,7,0,0.0037593984962406013,0.9962406015037594,0.978891820580475,4.9867865739498274e-05,0.978891820580475,0.003302084108912356,0.9724197357270068,0.9853639054339431,0.02130984900688789,0.0033694356212203387,0.014705755189296024,0.027913942824479752
Female/40x,1077.7172222222223,1855,10,0,0.005390835579514825,0.9946091644204852,0.9736147757255937,0.00011318706315885317,0.9736147757255937,0.0036818777627508734,0.9663982953106021,0.9808312561405854,0.026700684586402713,0.00377613654812492,0.01929945695207787,0.03410191222072756
Female/40x,1125.473611111111,1845,9,0,0.004878048780487805,0.9951219512195122,0.9688654353562006,0.00010346356646903316,0.9688654353562006,0.0039897760848843136,0.9610454742298273,0.9766853964825739,0.031578733366890516,0.004111342373045324,0.02352050231572168,0.03963696441805935
Female/40x,1172.7363888888888,1836,12,0,0.006535947712418301,0.9934640522875817,0.9625329815303432,8.92355746045965e-05,0.9625329815303432,0.004362422954640258,0.9539826325392483,0.971083330521438,0.038114681079308814,0.0045236070213219735,0.029248411317517747,0.04698095084109988
Female/40x,1246.2202777777777,1824,17,0,0.00932017543859649,0.9906798245614035,0.9535620052770449,0.00019818755858494648,0.9535620052770449,0.004833999385894834,0.944087366480691,0.9630366440733988,0.047434856517905306,0.005056952223385301,0.037523230160070115,0.0573464828757405
Female/40x,1293.4675,1807,25,0,0.01383508577753182,0.9861649142224682,0.9403693931398418,0.0002982489550338353,0.9403693931398418,0.0054397538739160796,0.9297074755469663,0.9510313107327173,0.06126994229543713,0.005764473065985135,0.049971575086106265,0.07256830950476799
Female/40x,1340.1783333333333,1782,24,0,0.013468013468013467,0.9865319865319865,0.9277044854881267,0.000181849052531708,0.9277044854881267,0.005949163400679779,0.9160441252227943,0.939364845753459,0.07473795576345059,0.0063864667470161255,0.06222048093929898,0.0872554305876022
Female/40x,1414.7419444444445,1758,68,0,0.038680318543799774,0.9613196814562002,0.891820580474934,0.0008461825765836369,0.891820580474934,0.007135205100708355,0.8778355784775456,0.9058055824723223,0.11341827430725036,0.007923977159248941,0.09788727907512244,0.1289492695393783
Female/40x,1461.355,1690,53,0,0.031360946745562134,0.9686390532544379,0.8638522427440632,0.0006388788840835149,0.8638522427440632,0.007878079720288218,0.8484112064922984,0.8792932789958281,0.1447792210528125,0.009019212118723289,0.12710156530011485,0.16245687680551013
Female/40x,1511.2244444444443,1637,26,0,0.01588271227855834,0.9841172877214417,0.850131926121372,0.00021668691084194788,0.850131926121372,0.008199608534015627,0.8340606933947013,0.8662031588480427,0.16066193333137083,0.009541934607963858,0.14195974149976165,0.17936412516298
